subject,total intracranial,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,csf,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
MAN-0,1399523.2,201432.23,246120.47,6572.189,416.669,16266.683,60909.277,6902.964,3644.767,5185.576,1390.939,1021.827,1525.746,25044.201,4272.646,1827.051,253742.1,623.559,4585.168,201041.27,245045.62,9960.365,314.423,15133.545,58191.523,7209.248,3831.271,5277.498,1515.408,3777.3,1802.664,606.677,4332.302
MAN-1,1409372.4,211703.27,249499.53,8051.21,236.613,17278.023,64689.324,6748.173,3726.406,5031.156,1381.062,807.346,2181.319,22554.402,3861.06,1561.937,236196.98,694.451,4237.205,208154.42,246201.42,7618.775,295.877,16448.477,61879.7,6873.224,3996.178,5277.449,1520.918,3895.925,1821.715,770.148,4178.754
MAN-10,1423185.8,218564.6,250258.52,6626.265,383.898,16015.942,56776.535,7151.618,3311.814,5064.032,1314.895,896.083,1393.621,22631.117,4171.157,1746.865,241199.36,634.62,4336.052,221979.12,252706.55,7674.885,298.436,15130.162,54556.17,7352.228,3736.279,5195.182,1622.206,3650.168,1886.001,760.073,4161.341
MAN-11,1453553.1,228734.8,248372.31,6011.502,202.149,17695.219,59049.652,7395.484,3643.993,5090.047,1406.003,895.478,1337.871,25278.535,3626.129,1602.205,254412.64,649.463,4533.953,221789.23,250371.02,6269.768,319.481,16881.059,58749.414,7470.306,4194.466,4847.09,1717.996,3928.271,1784.956,758.948,4533.697
MAN-12,1437034.1,220907.5,249124.89,9126.71,228.994,17880.23,61812.902,6501.764,3525.861,4932.408,1336.128,1004.202,1336.43,24175.193,3911.272,1535.592,248552.17,553.581,4286.118,219047.86,246158.11,8627.996,226.618,16830.217,59001.285,6762.88,3547.098,4709.572,1552.092,3389.79,1752.693,642.606,4053.401
MAN-13,1414539.5,214673.31,250196.78,6436.736,511.901,14595.108,54631.34,6954.32,3730.036,5417.199,1439.104,1017.311,1380.443,24020.154,4062.811,1640.271,259144.98,683.066,4326.976,211945.81,244701.17,7098.921,402.331,14081.993,53796.18,6791.752,3514.646,4949.736,1480.687,4348.889,1976.275,616.493,3972.767
MAN-14,1367315.9,211394.5,239877.98,8498.342,349.994,15600.718,58676.535,6568.552,3376.65,4711.299,1206.484,855.668,1524.473,22198.486,3993.45,1663.835,234002.02,653.881,4150.423,208680.86,238559.95,6449.95,325.856,14800.224,52822.344,6386.732,3526.261,4701.088,1457.802,3687.591,1966.672,641.712,4005.59
MAN-15,1390695.0,217400.98,252352.92,6939.122,314.113,15470.354,59209.707,6600.774,3365.395,4680.644,1301.209,832.186,929.747,23066.336,3853.226,1393.496,230764.08,571.59,4169.19,208979.2,243219.4,6478.493,346.951,14050.147,56991.03,7012.212,3796.298,4516.196,1484.351,3904.146,1861.823,641.008,4198.58
MAN-16,1500743.9,233480.88,257711.55,9271.442,371.958,18259.414,65337.24,6970.507,3921.359,5493.624,1502.587,900.838,1816.758,24415.525,4155.717,1697.929,246552.89,655.408,4466.824,230973.14,260333.88,8610.083,342.154,18305.918,65178.703,7432.087,4072.734,5478.738,1633.134,4321.415,1949.302,736.302,4393.842
MAN-17,1380643.2,218577.2,248252.62,6390.038,404.407,15345.65,60112.168,7033.066,3618.446,5191.353,1337.083,744.052,1513.559,22011.848,3977.457,1674.968,217924.98,657.705,4322.154,212418.55,244773.05,4974.823,344.163,14270.131,56499.605,7503.828,3971.523,5218.188,1525.211,3467.944,1755.437,752.574,4079.5
MAN-18,1379582.8,215506.44,243873.88,6383.407,344.117,14019.316,57178.273,6812.966,3547.824,4944.61,1306.03,991.027,1429.878,21310.479,3573.026,1509.278,227596.03,621.442,4102.615,211780.05,249271.34,6925.007,363.931,12960.723,54935.17,7107.151,3632.603,5327.412,1537.811,3898.778,2125.016,668.761,3998.296
MAN-19,1483309.2,223081.66,247785.81,7772.048,392.748,20860.955,69382.84,7568.332,3925.02,5279.43,1449.876,848.22,2315.518,25475.951,3929.126,1706.952,254106.81,590.587,4432.112,221380.05,255265.44,7723.532,307.624,18979.469,69493.94,7555.933,4256.678,5023.764,1629.503,3851.148,1859.815,736.127,4342.245
MAN-2,1382892.5,212822.98,250038.3,5572.078,382.59,14546.695,58240.14,7026.154,3399.725,5243.772,1445.758,696.565,1330.185,22924.002,4223.27,1906.01,231281.86,721.877,4370.453,208521.53,246756.9,5053.355,235.889,13581.039,55379.12,6768.567,3596.064,5092.688,1391.941,3871.358,1792.216,698.883,3980.609
MAN-20,1347510.5,198156.69,233517.16,6115.122,246.123,16310.701,62543.645,6288.93,3327.186,4743.038,1289.515,790.86,2181.054,22585.834,3630.67,1634.93,239648.34,612.947,3960.41,198443.23,233908.86,5772.046,208.326,15753.457,60023.37,6302.089,3389.548,4650.938,1511.926,3647.908,1740.676,679.332,3895.614
MAN-21,1319650.1,193055.78,230428.78,8980.08,269.461,15409.721,55237.6,6042.69,3367.94,4776.192,1188.694,990.292,1390.547,21935.553,3938.534,1446.399,241464.2,607.982,3824.148,193347.23,225911.22,8468.104,243.766,15351.905,55564.574,6495.693,3833.916,4954.701,1299.081,3760.644,1721.749,645.488,3697.456
MAN-22,1440760.1,224323.14,249403.64,6246.745,333.552,15397.173,60433.133,7194.093,3856.477,5006.711,1288.638,938.671,1995.409,22337.416,3840.714,1721.896,247029.81,665.163,4089.002,227581.98,251181.58,5496.666,308.331,14909.44,56900.45,7078.226,3977.816,5232.93,1540.561,3706.878,1939.526,779.338,4024.864
MAN-23,1474524.4,224908.36,260696.97,4948.061,266.125,16229.506,58914.234,7275.694,3349.432,5022.328,1389.098,888.887,1482.774,21882.855,4285.774,1779.811,262799.28,551.554,4272.332,227485.69,260889.62,6471.45,339.894,14778.812,55050.64,7371.798,3663.589,5135.029,1570.299,3997.202,1980.818,716.258,4130.207
MAN-24,1413784.2,215324.2,245449.84,7371.416,380.41,14084.338,55539.1,7232.386,3701.766,4767.61,1377.033,814.602,943.799,20872.807,4470.146,1830.585,260692.08,622.235,4182.792,212491.42,247707.34,7420.814,419.941,13690.177,53452.297,7597.546,3818.98,5043.039,1576.692,4162.964,1906.604,637.254,4202.122
MAN-25,1397396.1,213017.73,244543.86,5891.168,309.593,17447.568,60811.562,7457.97,3569.326,5381.742,1490.714,822.697,1156.259,24919.654,4042.298,1902.103,238740.39,671.488,4383.74,211220.38,243118.25,5917.094,390.189,15871.771,56048.53,7291.628,3440.223,4905.664,1517.218,4145.248,1900.082,697.118,4372.824
MAN-26,1467676.9,222456.69,247526.77,6993.975,383.574,19619.465,68809.09,7435.457,3975.01,5464.362,1548.007,1011.369,2223.355,26926.938,4262.89,1886.496,258664.83,651.634,4806.169,216812.94,243220.16,5977.879,389.063,18703.707,67617.88,7798.437,4222.834,5335.278,1607.928,4075.599,1854.729,728.306,4686.096
MAN-27,1359571.5,207368.95,235303.36,5927.238,540.53,14838.931,52179.242,7181.566,4109.858,5111.544,1524.997,1240.4,2183.956,22101.12,4278.52,1880.171,245909.88,598.624,4102.572,205932.77,236817.73,9306.419,469.086,14169.111,47787.062,6805.823,3820.173,5178.892,1670.158,4130.77,2122.836,660.041,4319.062
MAN-28,1374257.6,210196.58,242281.62,6847.292,388.699,15144.276,51244.59,6206.316,3678.231,5088.656,1338.838,936.227,1363.884,21698.629,4167.607,1631.242,243641.62,629.148,3942.978,206647.31,241179.34,6857.695,360.385,15452.922,56172.152,6545.411,3906.824,4759.313,1441.904,3828.26,2148.431,662.863,3868.444
MAN-29,1441704.8,220762.81,244624.62,7359.048,379.204,18005.254,60788.695,7220.982,3474.015,5030.216,1404.289,1175.539,975.834,24133.258,4321.172,1723.492,247659.97,640.649,4375.204,222261.17,253569.17,7773.044,298.18,16754.22,58169.707,7505.136,3439.493,5088.128,1478.419,4335.521,1895.102,636.817,4446.39
MAN-3,1384418.4,224040.67,245941.83,6548.89,329.489,15077.826,51569.453,6770.758,3830.284,5100.448,1398.081,789.592,932.896,21754.652,3620.429,1831.792,229656.42,584.053,3856.806,215705.34,245710.61,4403.726,283.987,14510.692,52591.527,6934.71,4061.76,5245.218,1685.624,3280.398,1692.187,790.605,3887.611
MAN-4,1427823.8,217495.8,241312.77,6928.991,311.326,17298.494,62602.336,6729.704,3299.309,4557.276,1324.092,1104.007,1779.118,24863.232,4193.153,1714.905,256124.3,566.296,4504.212,213933.33,248822.95,6945.466,355.583,16397.771,57151.824,6823.862,3555.512,4696.438,1544.034,4134.369,1783.846,659.407,4310.124
MAN-5,1415351.2,217635.05,249255.48,7970.502,382.307,15333.771,57718.094,6749.218,3648.51,4783.945,1249.933,993.587,1747.675,25207.344,4449.674,1706.024,238660.73,639.893,4381.368,213353.16,250197.2,5664.665,285.501,16409.25,58885.176,6817.752,3773.925,5051.412,1405.614,4026.716,1873.581,747.061,4347.126
MAN-6,1502498.1,232533.58,264503.47,7128.828,262.401,16317.466,58756.953,7439.034,3677.025,5035.909,1471.392,1539.158,1258.718,23483.477,4088.173,1724.928,266102.84,663.628,4425.153,230535.5,260053.36,9261.401,333.529,15780.021,57218.59,7351.649,3973.888,5105.881,1568.5,3933.104,1882.076,796.515,4291.952
MAN-7,1519670.2,240221.69,271154.88,6221.342,296.166,16980.74,60494.598,6816.69,3705.99,4734.164,1437.803,1066.49,1789.723,23145.723,4368.862,1769.614,257140.34,732.089,4813.694,232713.77,266948.2,5516.801,354.753,16945.69,62016.4,7004.688,3878.955,5085.688,1663.349,3826.017,1830.515,726.283,4268.501
MAN-8,1439186.9,219748.28,249064.98,7180.08,377.839,17560.305,65570.055,7099.853,3313.219,4946.653,1367.776,1073.808,1777.056,25490.701,4347.343,1834.112,234014.34,652.351,4471.785,223993.05,252239.62,6539.924,473.705,15978.931,61325.477,7153.525,3661.311,5157.529,1515.075,4311.985,1891.733,674.865,4379.582
MAN-9,1434888.2,216895.14,258108.69,7648.656,281.744,17502.756,61686.074,6511.13,3558.527,5171.078,1346.712,994.523,1538.555,23969.049,4198.11,1670.748,238698.55,669.255,4400.229,213787.16,253490.58,7923.368,358.531,15648.688,60372.273,6603.627,3810.51,5139.184,1510.511,4501.783,1824.284,703.158,4365.084
WOMAN-0,1345333.0,190774.97,236545.06,5104.266,440.248,16020.729,58576.77,6516.926,3536.535,4951.687,1312.645,861.161,1437.018,25110.549,4120.318,1717.027,250206.39,658.469,4427.348,193312.72,233413.6,8130.63,292.369,14532.557,56815.027,6703.524,3476.592,4540.092,1351.532,3748.115,1888.854,614.339,4194.903
WOMAN-1,1386868.5,210254.48,248040.39,6980.012,241.209,16674.734,62588.58,6455.637,3598.197,4847.598,1348.983,835.963,2151.76,22431.453,3605.954,1484.866,234082.92,648.52,4042.979,204706.9,244155.97,6305.381,238.858,15746.486,58480.76,6497.856,3666.714,4965.934,1412.21,3709.009,1933.419,710.333,4024.449
WOMAN-10,1381053.0,213931.81,242196.0,5310.35,339.625,15507.514,56099.41,6763.968,3082.523,4757.928,1153.09,848.577,1251.849,22448.385,3867.014,1712.837,235945.86,629.188,3947.057,216767.92,243713.7,5793.463,315.446,14658.607,53334.715,6763.794,3408.798,4958.369,1471.184,3604.015,1869.262,688.751,3912.036
WOMAN-11,1420168.5,224069.2,243492.9,4713.628,186.767,17336.777,58257.2,7063.804,3431.232,4628.898,1359.243,976.105,1211.236,25417.36,3632.454,1661.851,246598.34,696.67,4366.006,218430.72,246894.75,4920.152,267.503,16642.816,56248.887,7204.044,3672.828,4603.124,1550.917,3661.962,1815.087,705.743,4450.322
WOMAN-12,1413487.8,217250.69,242253.14,7415.252,235.972,17116.287,63049.758,6545.93,3399.824,4686.453,1237.482,1012.623,1341.603,23784.42,3669.731,1528.696,250222.22,551.019,4162.26,215528.98,240380.97,7437.601,211.218,16081.48,58294.223,6633.447,3380.322,4652.51,1445.271,3512.356,1862.876,634.562,3968.639
WOMAN-13,1374094.0,208107.08,243528.55,5120.074,451.752,13943.835,52646.902,6974.215,3501.662,5282.666,1385.864,1059.534,1436.543,23131.814,3824.128,1683.934,255211.17,648.297,4063.918,205183.44,240240.16,5971.557,500.485,13671.326,49982.047,6704.449,3281.475,4784.318,1468.317,3936.717,1851.686,633.647,3882.393
WOMAN-14,1327391.5,207921.89,236644.25,6504.359,387.153,14879.985,56312.266,6378.729,2908.099,4363.914,1098.859,857.379,1260.092,22570.508,3909.736,1662.947,227220.98,557.594,3735.004,203045.5,230101.81,5075.794,469.007,14097.689,50992.465,5937.417,3174.211,4201.388,1328.665,3655.579,1886.572,622.005,3629.682
WOMAN-15,1366823.8,214214.0,246424.6,5165.624,301.511,15599.764,58396.766,6310.24,3253.591,4435.525,1282.046,817.934,978.931,22627.299,3761.41,1473.717,230596.4,607.717,3880.461,204598.67,239133.72,5589.882,319.342,14052.541,56221.656,6816.404,3823.869,4472.072,1374.734,3679.016,1785.525,705.792,4122.993
WOMAN-16,1474857.8,230607.55,256444.77,7354.198,351.691,17297.242,62209.145,6688.515,3803.24,5267.101,1458.006,802.469,1632.842,24109.924,4037.327,1730.862,248091.47,603.88,4233.217,227414.05,257636.12,7053.868,322.721,16788.377,60824.2,6957.978,3835.281,5033.14,1508.066,4121.031,1916.924,724.112,3998.423
WOMAN-17,1349882.8,214785.1,243709.17,5808.858,341.541,14486.592,58919.914,6701.004,3351.178,4944.94,1281.96,767.553,1365.535,21436.057,3997.371,1663.429,217438.62,634.656,4314.739,205630.34,237569.89,4302.378,302.994,13653.544,55468.027,7051.114,3682.346,4814.479,1419.344,3478.997,1773.07,751.986,4035.997
