subject,total intracranial,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,csf,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
MAN-0,1538687.2,231560.7,266886.12,14096.049,400.093,15799.554,60775.062,6949.934,3370.858,4811.348,1303.942,1155.694,2118.652,23879.629,4128.429,1567.278,274642.1,574.86,4011.792,232622.83,267764.66,12797.215,408.982,15977.6,61747.11,7546.47,3999.83,5155.598,1561.157,4121.593,1904.456,698.818,4348.881
MAN-1,1523763.4,227785.33,268031.22,16022.181,333.408,17066.553,66376.836,6926.155,3683.083,5011.182,1547.329,1526.142,1842.676,24006.572,3995.154,1743.149,257562.84,697.592,4215.433,225377.66,266817.28,16106.431,340.013,16443.143,61636.332,6763.146,4235.984,5528.4,1627.661,3874.508,1760.008,716.007,4163.938
MAN-10,1430878.2,214385.52,246123.25,13847.825,409.328,16765.428,60812.72,6365.551,3485.314,4917.22,1312.59,2054.613,2050.505,24752.71,4017.105,1620.422,236408.08,599.334,4321.401,215694.03,251638.88,15468.211,441.119,16699.146,60247.43,6412.517,3279.989,4738.314,1442.635,3941.438,1891.818,517.526,4216.364
MAN-11,1427157.0,218909.69,240149.05,11681.786,502.543,15740.258,58841.664,7383.9,3149.078,4750.854,1230.645,973.568,2045.458,25738.945,4206.524,1480.98,258925.4,591.49,3887.433,214067.23,243097.53,14287.524,349.506,15187.259,54144.66,6888.412,3183.076,4230.462,1395.845,3729.612,1813.386,544.175,4049.12
MAN-12,1478338.8,228002.67,261336.8,15347.809,398.955,14613.444,53608.594,6780.592,3354.837,5261.954,1437.66,1353.8,1984.005,22931.11,3963.048,1573.401,247027.06,632.716,4131.374,228021.98,257308.1,19413.613,475.414,15161.128,56676.766,7267.433,3697.23,5049.584,1598.396,3732.536,1589.957,623.422,3983.226
MAN-13,1390012.5,214218.02,247714.89,13176.408,335.498,15885.5,56545.465,6758.248,3094.308,5211.907,1372.448,1573.191,1092.889,23931.025,3891.416,1610.71,231773.08,574.095,4124.334,204097.72,240603.19,14107.287,410.583,14143.502,56874.863,6476.406,3870.122,5147.63,1475.222,3879.148,1713.792,569.816,3759.799
MAN-14,1470637.1,224034.75,248380.73,14295.674,403.754,18339.807,61926.047,7301.65,3142.662,5123.688,1447.089,1238.324,1903.032,25980.559,3962.386,1653.373,238282.06,674.002,4394.959,229509.72,257591.05,12226.728,445.83,16613.414,63486.645,7290.266,3468.579,5261.06,1759.324,3599.417,1817.95,650.49,4432.066
MAN-15,1573498.1,253546.61,278908.72,13068.543,447.216,17755.072,63701.453,7250.107,3869.579,5457.42,1497.423,1248.153,1840.55,23910.377,4645.692,1790.84,245582.94,710.007,4500.082,250852.53,273476.56,14863.235,357.768,16303.265,57186.816,7770.553,4203.762,5408.498,1815.549,4126.056,2123.094,699.289,4580.284
MAN-16,1457722.9,225305.1,256024.14,13436.267,323.008,17950.742,63999.895,7036.87,3742.166,5382.57,1395.448,1159.578,1403.655,23944.896,4215.802,1880.31,237875.14,727.424,4564.444,219578.69,250707.66,12500.35,278.762,15500.252,59342.594,7034.386,4083.609,5456.996,1745.948,3862.626,2116.259,719.618,4427.652
MAN-17,1398064.4,214497.4,248048.86,12501.584,337.787,15830.105,57606.34,6228.342,2841.732,4351.127,1066.225,1306.862,2110.425,23831.475,4033.464,1608.473,232396.58,545.956,3942.082,206722.34,243052.78,12428.431,326.774,15319.468,60477.566,6583.836,3392.309,4824.929,1530.65,3703.512,1847.389,599.671,4169.938
MAN-18,1527022.9,235566.52,271214.75,20018.787,647.361,18179.287,64611.586,6907.53,3950.47,5410.941,1662.663,1693.556,1493.393,24918.111,4107.88,1913.288,217807.23,689.066,4459.619,242354.48,272407.62,14038.915,392.898,18689.367,63210.887,7505.736,4323.926,5395.83,1818.378,4399.49,1973.037,635.629,4624.654
MAN-19,1447073.2,220204.58,249269.33,11723.86,313.992,16575.15,57976.293,6706.798,3369.68,4645.782,1270.849,1295.669,1249.486,24803.803,3923.76,1535.668,243908.92,656.078,4243.152,223426.52,256339.11,11548.188,223.268,16190.678,57846.6,6784.156,3853.438,5132.329,1511.519,3915.841,1825.701,712.436,4090.63
MAN-2,1490738.4,229389.14,263639.16,14990.472,366.545,16605.25,62796.22,6666.6,3561.101,5306.994,1524.093,1278.775,1624.632,24636.293,3528.034,1600.238,245921.11,680.809,4267.01,226384.19,260719.22,10743.122,359.568,16304.266,59759.145,6697.21,3836.212,5130.58,1627.833,3935.822,1955.882,784.916,4117.925
MAN-20,1469077.2,229756.6,259805.97,14976.135,452.504,16057.409,56677.285,7211.576,3462.932,5314.067,1460.06,1522.534,1279.68,25843.008,4252.132,1852.378,234984.92,631.934,4074.657,229378.58,258770.75,11662.952,421.265,15071.225,55885.93,6977.236,3842.962,5146.516,1498.75,4285.27,1878.843,631.607,4009.526
MAN-21,1493572.5,228061.3,264498.5,13049.865,409.734,16374.91,59850.99,6719.876,3254.639,5305.534,1500.713,1120.538,1353.635,21789.262,3915.87,1830.966,253679.61,694.76,4202.113,224045.4,265610.1,9941.944,347.789,15788.919,62063.46,6898.973,3720.382,5041.642,1650.572,4076.945,2088.282,641.417,4043.81
MAN-22,1516844.0,247869.11,264565.94,10856.59,274.148,18055.14,63805.227,6883.19,3348.604,5026.58,1495.561,1105.772,1850.599,25952.277,3827.441,1748.875,232826.1,636.752,4323.56,239265.36,260696.23,11367.089,307.046,16909.373,64890.285,7558.12,3505.896,5334.962,1771.37,4023.955,1826.409,668.231,4268.248
MAN-23,1454467.6,216230.39,257099.94,14693.399,316.964,17757.037,60741.28,6342.606,3322.092,4923.969,1361.024,1143.901,1822.916,24811.799,4095.27,1858.646,243810.36,694.152,4230.356,215367.14,254093.39,17473.547,282.139,15948.856,59586.71,6456.607,3443.296,4767.208,1469.785,3903.376,1903.112,725.881,3790.565
MAN-24,1390943.1,207579.77,248607.9,16155.466,211.945,15532.562,59212.85,5799.976,2807.172,3747.898,1046.657,1667.682,1419.883,25699.19,3742.444,1385.684,248004.39,479.8,4173.254,193582.84,239916.98,11562.17,320.061,14252.705,59011.355,5992.25,3638.062,3955.16,1252.634,3833.329,1716.717,629.081,4005.262
MAN-25,1429791.2,223512.58,248457.44,13291.689,250.191,15950.905,62085.035,6597.568,3232.056,4621.965,1382.822,1353.26,1962.201,23916.629,3826.015,1666.708,222335.06,588.824,4311.932,225576.64,253552.12,14209.718,208.327,14928.266,55118.152,6796.74,3514.56,4701.424,1481.288,4024.572,1779.896,613.012,3943.696
MAN-26,1483622.8,230539.3,257108.45,15944.687,270.622,17056.178,62607.32,7313.888,3202.073,4518.274,1327.942,1181.414,1478.439,23613.705,4026.308,1641.75,234283.58,562.756,4521.614,229329.38,259323.4,12864.584,260.099,17386.225,64853.227,7283.644,3928.446,5023.394,1548.714,3987.613,1734.504,604.706,4296.523
MAN-27,1437202.0,217110.73,250114.97,17488.39,377.483,16540.926,58263.26,6859.636,3380.439,5209.851,1434.422,1473.405,1613.921,25299.645,3643.56,1567.584,235029.19,607.398,4313.142,217682.25,254343.97,11695.627,479.144,16022.36,57288.77,7769.382,3603.235,5482.86,1598.013,4094.048,1831.845,608.787,4373.779
MAN-28,1483673.0,228695.45,256460.88,10594.181,291.38,19532.145,60382.773,6571.52,3462.292,5495.062,1412.049,1076.856,2018.272,24958.033,4795.544,1857.042,244456.61,665.17,4436.348,225965.44,257792.08,13933.211,249.724,17416.105,61659.816,7523.559,4227.81,5572.74,1711.763,3808.729,1790.85,688.142,4171.494
MAN-29,1506132.1,235068.69,258576.4,14487.309,427.335,16943.934,64260.13,7278.407,3502.604,5213.09,1411.032,1142.426,1893.988,23899.643,4158.936,1744.511,243882.86,644.907,4676.409,239067.39,260295.4,12048.75,442.819,15703.378,59094.645,7522.649,3858.416,5229.261,1660.28,4767.854,2034.732,622.217,4571.682
MAN-3,1467381.5,229362.1,264381.6,12643.175,253.698,15123.221,55552.723,6669.71,3753.932,5126.311,1313.791,1171.694,1243.71,22490.0,3875.07,1567.107,238265.19,596.28,3994.028,230629.86,265443.62,11360.198,224.445,14014.218,51232.145,6708.679,3831.094,4941.482,1469.733,3613.548,1922.274,628.638,3978.229
MAN-4,1441123.2,221441.25,260019.25,13812.861,459.875,16489.68,57399.363,7154.398,3021.676,4795.553,1279.802,2154.861,1547.346,24227.092,3753.692,1635.25,232863.16,580.226,4154.185,214074.55,250752.14,14120.759,401.107,16103.222,61531.74,6941.55,3626.936,4893.384,1521.625,3721.548,1807.796,578.934,4258.5
MAN-5,1439603.0,220352.55,256036.48,9237.975,232.964,13784.504,54283.562,6334.386,3550.165,4792.226,1290.107,1263.605,1740.879,21556.912,3851.52,1505.588,258315.5,582.503,3770.852,218971.66,255280.86,10724.117,350.925,13565.699,51282.527,6553.523,3769.76,4882.814,1421.085,3882.63,1852.96,636.72,3945.44
