subject,total intracranial,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,csf,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
MAN-0,1553452.8,256283.16,278338.97,8380.968,253.45,15737.546,59396.562,7697.976,3710.55,5801.062,1501.402,993.124,964.927,25332.523,4054.286,1697.773,240533.52,661.518,4518.402,250325.95,277103.22,8209.507,389.309,15269.21,56042.312,7401.445,4202.736,5515.978,1751.597,4261.508,1890.237,790.207,4441.724
MAN-1,1516633.0,230201.7,267542.25,7658.042,269.419,16874.846,63763.22,7521.599,3996.856,5472.285,1488.845,861.795,1584.452,25928.7,4390.052,1737.013,249657.5,605.532,4559.753,232359.38,272045.72,6282.458,389.928,16817.074,64541.55,7118.642,4026.292,5436.018,1628.338,4670.474,1947.088,711.266,4544.958
MAN-10,1541603.6,246690.0,273680.34,8844.924,345.576,15738.239,56908.594,8136.266,4864.936,5842.052,1611.88,1069.746,1557.234,22096.908,4283.104,1691.454,254939.39,715.22,4577.826,245842.67,275412.6,7972.042,306.793,14673.132,51553.914,7851.143,4855.326,5712.522,1803.822,4480.262,2198.518,801.448,4545.848
MAN-11,1434886.8,219523.19,255748.88,9668.675,343.168,16775.643,62888.902,6115.272,3615.996,5052.708,1260.026,1339.526,1376.628,22865.85,3711.031,1556.585,234463.4,630.846,4153.927,217466.17,255405.89,8967.062,270.647,15751.595,59250.375,6228.958,4031.492,4842.734,1532.048,3690.28,1679.938,682.466,3996.842
MAN-12,1533417.6,238365.98,266943.84,7692.504,375.722,17823.502,67877.055,6973.522,3124.03,4944.897,1321.346,1294.352,1585.522,26387.754,4175.791,1632.117,246595.23,669.561,4442.856,242721.33,272494.34,6682.588,412.219,17489.12,61621.98,7133.528,3634.78,5381.856,1591.722,4763.265,2063.564,686.134,4515.599
MAN-13,1507329.4,233337.3,256579.06,5885.202,394.331,19435.877,66243.68,7743.573,4041.313,5320.608,1509.877,772.804,1271.802,28919.855,4301.082,1735.778,233223.78,640.206,4785.038,243637.66,267275.94,5868.956,444.223,17902.9,62774.72,8208.52,4234.876,5916.265,1827.004,4818.5,2344.991,805.369,5128.307
MAN-14,1556571.2,242753.75,282491.3,7472.282,328.707,17288.227,55497.324,7684.244,3391.414,5875.08,1457.342,1250.086,1367.082,24611.064,4415.548,1858.824,252576.44,720.665,4555.066,250005.12,286075.0,6999.467,587.681,15698.943,49877.02,8019.926,4027.158,5698.931,1789.134,4318.862,2194.028,755.552,4929.95
MAN-15,1483926.9,239450.05,264409.25,5630.396,300.085,16126.758,56548.957,7268.156,3979.188,5208.664,1380.033,771.55,1258.934,25619.527,4271.706,1831.648,231987.34,679.105,4677.792,234065.44,264621.56,5745.237,302.889,16639.127,61637.867,7088.564,3986.264,5149.963,1581.395,4449.17,2129.606,765.223,4365.36
MAN-16,1556955.9,244200.92,267003.0,8840.47,330.189,18377.404,66379.24,8252.796,4208.36,5748.522,1588.556,1078.787,1476.65,24614.045,4312.666,1814.688,250715.9,662.979,4805.284,250843.02,273890.38,8631.886,309.921,16593.45,60345.69,8379.32,4489.798,5808.524,1731.691,4189.963,1875.487,730.77,4725.576
MAN-17,1498657.5,231510.02,258058.42,8617.773,331.924,17560.45,66267.48,7230.176,4230.08,5394.774,1390.491,1035.395,2022.949,25543.283,4194.115,1809.662,243319.88,702.691,4505.362,233441.17,262506.34,9288.357,340.252,17374.928,61440.336,7601.066,4394.158,5455.466,1679.329,4113.575,2117.531,714.234,4465.76
MAN-18,1470166.5,233389.62,252384.31,8719.119,382.824,16127.818,65249.31,7543.914,4233.722,5409.762,1427.758,939.368,1639.387,23320.004,4362.795,1809.023,221608.67,736.93,4627.831,236011.62,258309.44,9232.854,404.92,16138.613,64574.66,7858.034,4469.956,5904.054,1815.929,4366.966,1966.667,767.074,4433.396
MAN-19,1467220.6,235623.9,263426.4,8032.27,409.888,14936.756,57027.16,7475.522,4081.663,5595.782,1431.775,999.598,1581.63,25308.227,4410.26,1687.556,231353.28,678.708,4448.906,232081.94,257866.56,7909.146,415.342,14640.312,55223.785,7728.67,4256.404,5589.405,1739.156,4151.291,1793.504,691.732,4624.122
MAN-2,1511374.0,237182.19,261973.92,5472.591,423.867,18723.705,67683.59,7159.75,3400.991,5064.112,1250.96,1233.874,1954.386,27821.94,4241.636,1807.305,241337.31,642.226,4440.928,234724.06,264397.47,5865.398,267.199,18002.713,66451.26,7454.947,3736.829,5227.602,1661.221,4623.934,2047.147,679.751,4419.08
MAN-20,1551160.2,248074.11,283739.4,7246.236,390.239,17296.44,62005.08,7165.044,3929.216,5849.234,1482.095,908.822,1657.433,23370.92,4417.498,1876.011,245701.94,706.199,4440.23,239960.55,279324.38,6078.732,449.097,15259.357,59799.63,6986.592,3897.947,5394.376,1601.443,4752.992,2450.099,715.046,4233.85
MAN-21,1508892.5,233859.73,265099.16,10399.87,263.889,18042.912,68025.82,6834.816,3876.389,5473.508,1417.593,936.514,2220.185,25737.81,4259.208,1874.416,230906.31,682.329,4453.494,234084.11,265789.88,9219.271,263.636,17423.979,67982.34,7131.966,4224.436,5503.882,1619.342,4168.199,2026.573,739.404,4351.542
MAN-22,1511121.4,237685.86,268467.84,10281.083,402.211,16596.95,59724.57,7475.516,3879.616,5838.962,1594.472,874.092,1170.195,25595.852,4424.782,2000.336,234387.92,731.892,4894.296,238730.44,272042.7,8651.799,450.295,16076.121,58261.355,7332.358,4349.568,5551.008,1717.273,4414.734,2234.143,749.837,4533.336
MAN-23,1583927.5,260438.42,280220.62,7430.391,257.357,18613.713,63853.223,7972.584,4171.938,5240.4,1423.632,1006.12,1343.422,26526.62,4059.808,1602.841,244926.45,672.514,4746.61,254933.02,280878.94,6062.346,283.102,18121.53,58471.48,8254.104,3962.278,5446.312,1652.169,4018.574,1944.81,795.51,4596.726
