subject,total intracranial,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,csf,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
MAN-0,1665650.8,283450.53,307229.0,12875.885,494.94,19901.03,58319.69,7639.802,4099.083,5403.22,1715.234,1274.588,1581.853,25971.201,4168.291,1877.47,237401.66,679.037,5022.156,267650.62,302064.5,9066.74,561.473,19585.297,55229.53,8197.407,4490.933,5461.198,1833.949,4369.927,2133.6,709.479,5191.376
MAN-1,1582449.9,253228.53,275312.12,14317.133,344.304,17791.137,65851.25,7723.614,4082.928,5828.93,1562.945,1438.896,1467.516,27652.738,4857.777,1944.18,230420.14,727.279,4875.915,256904.06,281632.97,13945.017,440.937,16942.43,62864.78,7288.434,4509.23,5217.693,1601.977,4467.211,1899.606,631.947,4676.322
MAN-10,1560834.5,243662.5,277910.53,15094.29,392.117,17572.01,62957.684,6883.68,3133.716,5037.191,1452.178,1431.254,1611.992,22923.307,4146.31,1782.508,232565.72,627.991,4259.478,250209.69,280297.53,14401.174,505.716,17053.096,64561.332,7138.848,4086.266,5699.442,1699.921,4455.876,2100.576,686.855,4493.624
MAN-11,1555902.9,244326.69,277210.28,14992.938,351.498,17109.166,58763.91,7190.604,3795.374,5376.392,1288.662,1334.331,1124.709,22348.133,4423.665,1789.446,238145.88,643.964,4158.852,244126.28,289243.06,14320.533,485.477,15883.936,59105.61,7101.822,3708.385,4728.304,1443.805,4586.488,2062.379,677.338,4054.94
MAN-12,1515046.8,238834.25,269376.47,11259.954,323.751,18267.898,63334.098,7202.476,4014.654,5517.777,1567.399,1107.279,1722.618,25433.107,4073.586,1617.198,225242.58,654.868,4538.424,239170.42,268812.44,9890.31,423.268,17270.574,64091.504,7651.932,4187.199,5689.508,1778.181,4482.289,2252.111,705.293,4553.321
MAN-13,1555914.0,244357.58,277764.3,16871.664,509.416,17525.066,67857.83,7364.702,3637.259,5245.058,1402.393,1890.193,1581.381,23322.639,4416.204,1801.254,230956.19,625.117,4468.17,243459.98,275303.9,16023.562,561.319,16151.122,61765.52,7470.482,4174.577,5899.08,1701.134,4675.217,2013.584,643.918,4474.192
MAN-14,1745186.4,288766.1,315905.97,12447.095,331.032,19844.68,66747.57,7663.505,3869.776,4965.602,1514.744,1525.805,1617.67,27182.984,4424.552,1722.211,246810.0,666.879,4726.92,290505.66,314298.72,12840.791,426.228,18347.447,64778.07,8537.483,4894.119,5805.497,1830.625,4449.145,2209.737,738.89,4790.825
MAN-15,1599404.2,263038.22,285415.03,13670.04,381.568,18365.719,66011.07,7350.639,3756.045,5806.46,1608.001,1765.507,1159.87,27048.443,4598.45,1785.696,234502.5,690.604,4859.967,251228.52,276365.47,14809.036,409.809,18343.02,65679.336,7471.574,4036.556,5233.092,1617.388,4719.904,2199.596,708.328,4768.862
MAN-16,1581898.8,262536.16,285599.0,10137.771,277.432,18377.912,64344.32,7108.456,3666.46,5454.927,1503.979,1066.144,1229.736,24440.053,4565.115,1707.529,221885.03,649.943,4661.976,258545.6,284866.56,13270.925,284.883,17269.197,58695.523,7502.55,3979.124,5032.595,1729.602,4157.372,2167.079,699.839,4486.093
MAN-17,1479318.8,232342.14,260266.94,10714.991,404.069,15636.304,60381.266,7404.758,3753.112,5429.164,1420.609,1121.143,1647.724,25394.781,3972.067,1631.713,242580.3,668.632,4745.066,232375.25,260672.36,8958.459,219.631,14774.229,54378.258,7436.999,3944.62,4934.18,1493.682,3664.347,1784.577,755.134,4412.192
MAN-18,1592772.6,255208.25,287700.06,16832.578,296.752,16951.947,58718.566,7662.844,4022.214,5655.266,1560.051,998.984,1456.776,25676.184,4255.642,1731.061,234148.02,635.492,4686.488,253069.92,286476.34,17321.16,302.296,16290.812,60299.383,7685.276,4141.831,5703.347,1780.748,4391.642,2084.112,609.841,4418.654
MAN-19,1532702.0,247569.95,272087.3,13181.202,287.447,17335.408,61392.965,7421.105,3586.726,5303.644,1519.033,1302.914,1479.555,23913.814,4088.869,1783.097,220200.3,663.662,4687.26,248537.48,277467.62,9897.35,441.292,16570.105,61311.61,7760.356,4228.626,5510.75,1765.398,4276.972,1994.499,714.781,4420.833
MAN-2,1649669.5,265822.97,294051.53,19347.469,497.853,18337.371,70360.16,7846.828,4128.425,5819.89,1638.647,2135.092,1385.974,26383.262,4710.652,1906.153,236917.31,792.695,4963.13,258386.11,291549.53,16527.516,417.147,17856.586,64570.277,8396.108,4533.592,5908.808,1833.229,4719.504,2272.679,693.242,4959.88
MAN-20,1454421.8,237911.61,268942.78,12950.736,376.752,15825.426,59793.395,6886.219,3362.896,4747.034,1191.164,1480.993,1401.971,22164.227,4115.119,1943.755,210559.22,604.248,4046.052,224725.56,257740.73,9437.384,480.817,15474.514,60365.562,7141.07,3850.617,4610.649,1604.579,3980.87,1813.043,703.294,4189.407
MAN-21,1521070.9,237943.6,268977.34,11491.858,327.535,18602.43,67395.57,6803.662,3626.59,5100.576,1384.372,1263.54,2079.974,25314.191,4108.015,1324.686,233329.5,678.455,4415.617,235368.8,268919.44,10455.598,415.098,17593.406,65354.58,7224.324,3786.893,5103.783,1560.722,4127.087,1977.718,691.028,4324.906
MAN-22,1530919.5,245293.14,276742.97,17859.87,602.714,16283.107,58826.14,7542.961,3762.054,5691.95,1541.079,1342.556,1201.28,25931.582,4532.898,1805.818,228322.7,694.889,4600.655,235839.9,268204.3,15400.446,456.543,16057.879,60995.6,7734.92,4364.197,5929.954,1886.643,4298.171,1971.654,709.718,4491.252
MAN-23,1587872.9,262040.5,280166.28,10867.912,399.916,17633.406,61845.875,7680.566,3690.599,5385.238,1459.206,1535.972,1276.292,28185.262,4343.557,1976.102,233074.47,643.572,4951.794,259890.81,283969.78,10197.568,507.383,16788.004,57926.527,7689.822,4456.492,6046.892,1838.171,3890.67,1838.411,678.593,4997.271
MAN-24,1584589.2,246514.12,287391.3,14726.381,455.396,18579.223,66725.91,7413.412,3726.098,5375.782,1457.033,1316.3,1401.283,25719.299,4578.574,1904.096,228433.11,544.457,4884.654,247379.94,287373.75,17290.027,506.007,17006.502,63550.305,7507.156,4284.688,5223.823,1599.083,4188.02,2161.181,658.86,4713.431
MAN-25,1585908.0,245739.22,282092.03,13961.211,393.731,17311.336,59684.555,7137.458,3331.871,5608.506,1418.567,1629.359,1317.979,26584.484,4364.851,1981.982,259972.58,623.849,4432.728,250102.02,278077.62,13003.942,401.02,16892.71,59315.12,7502.23,3959.316,5510.188,1693.414,4400.616,2206.118,719.933,4537.47
MAN-26,1489450.8,236795.28,265227.03,12522.691,309.945,18287.236,66439.6,6752.512,3547.869,4884.282,1420.901,1409.936,1481.866,25293.336,3874.788,1554.16,211323.45,640.77,4122.04,235647.86,269720.84,14962.686,412.666,16522.068,58188.215,7011.371,3573.772,5083.057,1562.5,4425.858,1771.414,534.329,4146.383
MAN-27,1567418.2,258272.72,284646.44,15558.857,368.82,16160.976,53199.426,7298.051,3521.068,5040.118,1384.023,1634.922,911.163,24633.861,4207.76,1767.138,229170.56,658.326,4476.912,259620.27,281393.84,13812.353,197.711,16783.207,53705.57,7686.281,4070.555,5506.198,1630.882,3484.388,1839.38,645.878,4130.737
MAN-28,1470019.8,229573.83,256424.98,14670.293,490.44,17791.723,63597.145,6976.22,3405.864,5096.68,1313.897,1349.263,1130.169,25201.479,4547.702,1858.212,217927.03,658.444,4311.95,232249.98,261443.45,12712.773,515.51,16940.549,59824.91,7332.906,4002.644,5492.552,1584.953,4507.359,2103.552,740.27,4242.936
MAN-29,1653368.4,274018.84,287525.12,15048.377,422.077,20621.238,72754.086,8515.859,4174.521,6185.136,1679.243,1357.326,3175.918,29155.092,4433.564,1988.366,232158.25,703.927,4862.064,265809.34,285363.47,10188.183,500.282,19906.031,68700.47,8348.31,4787.158,6297.262,2060.507,4598.679,2298.83,766.364,4964.539
MAN-3,1514577.4,239547.69,265832.2,13729.368,404.283,15883.094,57833.156,7230.68,3178.87,5032.708,1380.186,1060.974,1927.515,24892.594,4413.278,1883.578,233451.83,627.287,4372.892,243468.16,268688.06,14473.438,391.449,15747.821,59589.66,7684.096,3764.716,5362.352,1626.89,4151.618,1836.872,708.752,4401.258
MAN-4,1540810.0,236977.92,264658.62,12893.446,240.252,18261.994,68593.55,6957.428,3616.514,4901.542,1453.759,1361.18,1465.102,24900.105,4391.374,1794.632,235128.98,659.154,4395.63,243848.45,275453.62,12195.229,313.062,17905.443,68381.35,7127.894,4156.081,5581.321,1764.171,4398.243,1974.164,636.588,4423.167
MAN-5,1564686.6,248986.84,276100.38,12694.562,279.416,17778.92,62648.395,6816.432,4051.262,5541.254,1343.419,1700.052,1501.158,26229.137,4259.024,1889.571,237185.73,722.361,4299.506,247208.34,279680.7,11168.673,365.072,17189.977,66660.734,7022.154,3987.971,5151.436,1513.88,4117.574,1792.877,609.694,4190.14
MAN-6,1463806.8,226806.6,264276.28,17050.312,275.862,15385.108,59269.062,6598.694,3973.716,5300.355,1318.087,1146.448,1206.198,24271.275,4185.118,1841.568,218273.34,663.191,4172.015,225325.56,260872.67,18509.018,270.414,15411.079,58351.58,7061.754,4186.582,5320.996,1604.152,4225.986,2057.832,632.582,3963.403
MAN-7,1543147.4,253363.88,272350.03,13023.884,278.805,17186.707,62128.125,7169.789,4298.392,5626.612,1591.953,870.337,1305.385,24537.64,3911.633,1794.738,225113.44,716.62,4584.735,247230.78,274277.5,12682.608,300.542,16254.488,60444.176,7767.8,4520.868,6013.188,1822.595,4490.536,2166.769,722.225,4600.566
MAN-8,1474529.9,231927.66,259608.08,12201.693,328.96,16529.1,64129.59,7176.08,3268.854,4870.236,1418.13,1109.201,1523.418,22770.219,4579.118,1810.698,216342.67,584.106,4308.672,237893.27,264930.47,12054.455,274.428,15675.996,59763.438,7451.806,3912.081,5390.906,1637.305,4109.854,1916.867,728.055,4304.388
MAN-9,1533404.5,248827.27,279124.3,12867.879,332.289,15657.725,59234.027,7038.12,3290.189,5069.406,1397.38,1806.125,1350.308,22717.592,4376.536,1826.38,223666.12,631.235,4177.208,247206.12,280775.62,12103.413,427.202,14335.709,56125.97,7537.83,3764.011,5042.958,1589.201,4023.692,2068.072,675.724,4338.952
